Category,Title,Price,Location,Area,URL
Plots for Sale,"5 Marla Residential Plot for sale in DHA Phase 9  Prism, Lahore | 1463391 | Graana.com",1.3 Crore,"DHA Phase 9  Prism, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-phase-9-prism-lahore-1463391/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Phase 9  Prism, Lahore | 1463390 | Graana.com",1.3 Crore,"DHA Phase 9  Prism, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-phase-9-prism-lahore-1463390/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Phase 9  Prism, Lahore | 1463389 | Graana.com",1.3 Crore,"DHA Phase 9  Prism, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-phase-9-prism-lahore-1463389/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Phase 9  Prism, Lahore | 1463388 | Graana.com",1.2 Crore,"DHA Phase 9  Prism, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-phase-9-prism-lahore-1463388/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Phase 9  Prism, Lahore | 1463387 | Graana.com",1.2 Crore,"DHA Phase 9  Prism, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-phase-9-prism-lahore-1463387/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Phase 9  Prism, Lahore | 1463385 | Graana.com",1.1 Crore,"DHA Phase 9  Prism, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-phase-9-prism-lahore-1463385/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463384 | Graana.com",1.47 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463384/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463383 | Graana.com",1.48 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463383/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463381 | Graana.com",1.48 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463381/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463379 | Graana.com",1.46 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463379/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463378 | Graana.com",1.46 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463378/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463376 | Graana.com",62 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463376/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463375 | Graana.com",1.44 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463375/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463374 | Graana.com",70 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463374/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463373 | Graana.com",70 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463373/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463372 | Graana.com",1.44 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463372/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463371 | Graana.com",1.44 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463371/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463370 | Graana.com",70 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463370/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463367 | Graana.com",70 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463367/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463366 | Graana.com",64 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463366/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463365 | Graana.com",62 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463365/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463364 | Graana.com",1.43 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463364/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463361 | Graana.com",68 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463361/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463360 | Graana.com",1.43 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463360/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463359 | Graana.com",1.43 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463359/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463358 | Graana.com",64 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463358/
