ADMIN_UNIT,DISTRICT,ALL_SEXES,MALE,FEMALE,TRANSGENDER,AVG_HH_SIZE
KASHMORE TC,KASHMORE DISTRICT,63984,32323,31645,16,5.87
PESHAWAR CANTONMENT,PESHAWAR DISTRICT,63978,34308,29669,1,6.17
PINDI GHEB MC,ATTOCK DISTRICT,63810,32561,31241,8,6.04
MUZAFFARGARH,DISTRICT,63421,31489,31931,1,5.98
KOT MOMIN MC,SARGODHA DISTRICT,63411,32310,31091,10,6.63
MANDI BAHAUDDIN,DISTRICT,62453,31161,31288,4,6.34
MUZAFFARGARH,DISTRICT,62184,31432,30745,7,6.06
BAHAWALNAGAR,DISTRICT,61586,32181,29389,16,6.40
TAXILA CANTONMENT,RAWALPINDI DISTRICT,61456,31905,29550,1,5.97
KALLAR SYEDAN MC,RAWALPINDI DISTRICT,60941,29284,31649,8,5.99
YAZMAN MC,BAHAWALPUR DISTRICT,60738,30180,30539,19,6.04
CHAK JHUMRA MC,FAISALABAD DISTRICT,60131,30948,29177,6,6.41
DERA GHAZI KHAN,DISTRICT,59870,29711,30129,30,7.64
GAMBAT MC,KHAIRPUR DISTRICT,59790,30018,29758,14,6.09
NOWSHERA VIRKAN MC,GUJRANWALA DISTRICT,59639,30293,29336,10,7.50
KHIPRO TC,SANGHAR DISTRICT,58307,29734,28567,6,5.95
NAUSHAHRO FEROZE,DISTRICT,57978,29397,28572,9,5.62
SAHIWAL MC,SARGODHA DISTRICT,57374,29096,28272,6,6.14
KHAWAZA KHELA MC,SWAT DISTRICT,57113,29722,27387,4,7.09
JEHANGIRA MC,NOWSHERA DISTRICT,57011,28735,28275,1,6.10
CHAUBARA MC,LAYYAH DISTRICT,57002,29674,27325,3,6.60
LORALAI MC,LORALAI DISTRICT,56613,29553,27059,1,7.69
JAND MC,ATTOCK DISTRICT,56254,27724,28526,4,5.71
KHALABAT MC,HARIPUR DISTRICT,55850,27272,28577,1,6.23
MANDI AHMAD ABAD TC,OKARA DISTRICT,54860,27819,27033,8,6.81
KINGRI (PIRJO GOTH) MC,KHAIRPUR DISTRICT,54266,28221,26041,4,6.82
SAFDARABAD MC,SHEIKHUPURA DISTRICT,54242,27365,26868,9,6.73
NAUDERO MC,LARKANA DISTRICT,52846,27208,25629,9,5.31
HYDERABAD CANTONMENT (Part of Hyderabad City Taluka),HYDERABAD DISTRICT,52827,29019,23807,1,6.08
PABBI MC,NOWSHERA DISTRICT,52701,26626,26073,2,6.38
ZAFARWAL MC,NAROWAL DISTRICT,52639,26730,25892,17,6.44
LALIAN MC,CHINIOT DISTRICT,52542,26246,26240,56,5.77
MITHI MC,THARPARKAR DISTRICT,52376,27677,24698,1,5.37
FATEH PUR MC,LAYYAH DISTRICT,52255,26515,25720,20,6.33
KORANGI CREEK CANTONMENT (Part of Korangi Sub-Division),KORANGI DISTRICT,52186,27774,24410,2,6.26
DUNYAPUR MC,LODHRAN DISTRICT,51888,26556,25316,16,6.08
MATTA MC,SWAT DISTRICT,51821,26542,25278,1,7.43
MANAWALA JODH SINGH MC,SHEIKHUPURA DISTRICT,51746,26028,25712,6,6.09
THATTA MC,THATTA DISTRICT,51723,26057,25659,7,5.49
MANDI BAHAUDDIN,DISTRICT,51327,25435,25876,16,5.86
UBAURO TC,GHOTKI DISTRICT,50981,26418,24557,6,5.76
KHAIR PUR NATHAN SHAH MC,DADU DISTRICT,50786,25170,25615,1,4.73
SUKHEKE MC,HAFIZABAD DISTRICT,50458,25308,25146,4,6.36
JAHANIAN MC,KHANEWAL DISTRICT,50318,25574,24732,12,6.13
