Category,Title,Price,Location,Area,URL
Homes,2 Kanal Brand New Luxury Ultra-Modern Design Most Beautiful Furnished Bungalow For Sale At Prime Location Of DHA Lahore Near To Park Masjid &Commercial Market.,25 Crore,"DHA Phase 8 - Ex Park View, DHA Phase 8",2 Kanal,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_-_ex_park_view_2_kanal_brand_new_luxury_ultra-modern_design_most_beautiful_furnished_bungalow_for_sale_at_prime_location_of_dha_lahore_near_to_park_masjid_commercial_market-52115143-485-1.html
Homes,Syed Brothers Offers 1 Kanal Elegant And Fully Maintained Super Hot Located Bungalow Is Available In The Best Block Of DHA Phase 5 Lahore.,9.5 Crore,"DHA Phase 5, DHA Defence",1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_5_syed_brothers_offers_1_kanal_elegant_and_fully_maintained_super_hot_located_bungalow_is_available_in_the_best_block_of_dha_phase_5_lahore-52767966-1447-1.html
Homes,5 Marla Modern Design House Available For Sale In Formanites Housing Scheme,2.15 Crore,"Formanites Housing Scheme, Lahore",5 Marla,https://www.zameen.com/Property/lahore_formanites_housing_scheme_5_marla_modern_design_house_available_for_sale_in_formanites_housing_scheme-52757960-1020-1.html
Homes,20 Marla Brand New Modern Design House Available For Sale In Lake City Meadows Ex State Life Housing Society,7.8 Crore,"Lake City Meadows Phase 1 - Block E, Lake City Meadows Phase 1",1 Kanal,https://www.zameen.com/Property/lake_city_meadows_phase_1_lake_city_meadows_phase_1_-_block_e_20_marla_brand_new_modern_design_house_available_for_sale_in_lake_city_meadows_ex_state_life_housing_society-52757998-4195-1.html
Homes,Top Of Line Brand New One Kanal Luxury Bungalow Design By Reputed Architect,8.4 Crore,"DHA Phase 7, DHA Defence",1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_7_top_of_line_brand_new_one_kanal_luxury_bungalow_design_by_reputed_architect-52818480-1450-1.html
Homes,7 Marla Brand New House For Sale In Lake City Raiwind Road Lahore,2.8 Crore,"Lake City, Raiwind Road",7 Marla,https://www.zameen.com/Property/raiwind_road_lake_city_7_marla_brand_new_house_for_sale_in_lake_city_raiwind_road_lahore-52842122-1103-1.html
Homes,Well Maintained 10 Marla Spacious Bungalow Near big Park And Market Owner Needy,3.75 Crore,"Punjab Coop Housing Society, Lahore",10 Marla,https://www.zameen.com/Property/lahore_punjab_coop_housing_society_well_maintained_10_marla_spacious_bungalow_near_big_park_and_market_owner_needy-52503342-456-1.html
Homes,1 KANAL BEAUTIFUL HOUSE IS AVAILABLE FOR SALE IN IEP TOWN SECTOR EI,6.25 Crore,"IEP Engineers Town - Block E1, IEP Engineers Town - Sector A",1 Kanal,https://www.zameen.com/Property/iep_engineers_town_sector_a_iep_engineers_town_-_block_e1_1_kanal_beautiful_house_is_available_for_sale_in_iep_town_sector_ei-52840737-3896-1.html
Homes,5 Marla Brand New Type House Available For Sale,2.15 Crore,"Punjab University Society Phase 2, Punjab University Employees Society",5 Marla,https://www.zameen.com/Property/punjab_university_employees_society_punjab_university_society_phase_2_5_marla_brand_new_type_house_available_for_sale-52671542-12804-1.html
Homes,1 Kanal Brand New Luxurious House Available For Sale In Sector E Bahria Town Lahore,7.7 Crore,"Bahria Town - Sector E, Bahria Town",1 Kanal,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_1_kanal_brand_new_luxurious_house_available_for_sale_in_sector_e_bahria_town_lahore-52720849-1802-1.html
Homes,Corner Facing Park 9 Marla Brand New Luxurious House For Sale In Sector E Bahria Town Lahore,4.1 Crore,"Bahria Town - Jinnah Block, Bahria Town - Sector E",9 Marla,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_jinnah_block_corner_facing_park_9_marla_brand_new_luxurious_house_for_sale_in_sector_e_bahria_town_lahore-52791157-1804-1.html
Homes,"Beautifully Designed 5 Marla House For Sale In Park View City, Lahore",1.85 Crore,"Park View City - Tulip Extension Block, Park View City",5 Marla,https://www.zameen.com/Property/park_view_city_park_view_city_-_tulip_extension_block_beautifully_designed_5_marla_house_for_sale_in_park_view_city_lahore-52011600-16719-1.html
Homes,"With Swimming Pool, Full Furnished 3 Beds 4 Kanal Farmhouse for Sale on Barki road Lahore.",7.5 Crore,"Barki Road, Cantt",4 Kanal,https://www.zameen.com/Property/cantt_barki_road_with_swimming_pool_full_furnished_3_beds_4_kanal_farmhouse_for_sale_on_barki_road_lahore-52302372-8147-1.html
Homes,32 Kanal Farm House For Sale,24 Crore,"Barki Road, Cantt",32 Kanal,https://www.zameen.com/Property/cantt_barki_road_32_kanal_farm_house_for_sale-52302407-8147-1.html
Homes,Farmhouse For Sale On Barki Road,5.5 Crore,"Barki Road, Cantt",3.7 Kanal,https://www.zameen.com/Property/cantt_barki_road_farmhouse_for_sale_on_barki_road-52124008-8147-1.html
